distance,cdf
351.333,0.1203363111
351.333,0.1208617972
351.333,0.1213872832
351.333,0.1219127693
351.333,0.1224382554
351.333,0.1229637415
351.333,0.1234892275
352.045,0.1240147136
352.99,0.1245401997
352.99,0.1250656858
352.99,0.1255911718
352.99,0.1261166579
352.99,0.126642144
352.99,0.1271676301
352.99,0.1276931161
352.99,0.1282186022
352.99,0.1287440883
352.99,0.1292695744
352.99,0.1297950604
352.99,0.1303205465
358.208,0.1308460326
358.208,0.1313715187
358.611,0.1318970047
358.611,0.1324224908
358.863,0.1329479769
358.863,0.133473463
358.863,0.133998949
358.863,0.1345244351
368.903,0.1350499212
368.903,0.1355754073
368.903,0.1361008933
368.903,0.1366263794
368.903,0.1371518655
368.903,0.1376773516
368.903,0.1382028376
368.903,0.1387283237
385.402,0.1392538098
385.402,0.1397792958
385.402,0.1403047819
385.402,0.140830268
385.402,0.1413557541
385.402,0.1418812401
385.402,0.1424067262
385.402,0.1429322123
387.717,0.1434576984
387.964,0.1439831844
387.964,0.1445086705
392.826,0.1450341566
392.826,0.1455596427
392.826,0.1460851287
405.699,0.1466106148
405.699,0.1471361009
411.823,0.147661587
411.823,0.148187073
411.823,0.1487125591
411.823,0.1492380452
412.204,0.1497635313
412.204,0.1502890173
417.59,0.1508145034
417.59,0.1513399895
421.809,0.1518654756
424.423,0.1523909616
424.423,0.1529164477
442.085,0.1534419338
442.085,0.1539674199
442.085,0.1544929059
442.085,0.155018392
442.085,0.1555438781
442.085,0.1560693642
442.085,0.1565948502
442.085,0.1571203363
444.199,0.1576458224
444.199,0.1581713085
444.199,0.1586967945
444.199,0.1592222806
447.326,0.1597477667
447.326,0.1602732528
448.076,0.1607987388
448.076,0.1613242249
448.076,0.161849711
448.076,0.1623751971
451.607,0.1629006831
451.607,0.1634261692
451.607,0.1639516553
451.607,0.1644771414
451.607,0.1650026274
451.607,0.1655281135
451.607,0.1660535996
451.607,0.1665790857
459.772,0.1671045717
465.687,0.1676300578
465.687,0.1681555439
465.687,0.16868103
470.121,0.169206516
470.121,0.1697320021
470.121,0.1702574882
470.121,0.1707829743
470.121,0.1713084603
470.121,0.1718339464
470.121,0.1723594325
470.121,0.1728849185
472.789,0.1734104046
472.789,0.1739358907
472.789,0.1744613768
472.789,0.1749868628
478.371,0.1755123489
478.371,0.176037835
482.211,0.1765633211
482.211,0.1770888071
482.211,0.1776142932
482.211,0.1781397793
482.211,0.1786652654
482.211,0.1791907514
482.211,0.1797162375
482.211,0.1802417236
487.539,0.1807672097
487.539,0.1812926957
487.539,0.1818181818
487.539,0.1823436679
488.702,0.182869154
488.702,0.18339464
495.256,0.1839201261
495.256,0.1844456122
495.256,0.1849710983
495.256,0.1854965843
506.511,0.1860220704
506.511,0.1865475565
506.511,0.1870730426
506.511,0.1875985286
506.609,0.1881240147
506.609,0.1886495008
506.609,0.1891749869
506.609,0.1897004729
509.245,0.190225959
509.245,0.1907514451
511.997,0.1912769312
511.997,0.1918024172
511.997,0.1923279033
511.997,0.1928533894
515.576,0.1933788755
515.576,0.1939043615
516.104,0.1944298476
516.104,0.1949553337
516.104,0.1954808198
516.104,0.1960063058
521.731,0.1965317919
521.731,0.197057278
530.866,0.1975827641
530.866,0.1981082501
530.866,0.1986337362
530.866,0.1991592223
530.866,0.1996847084
530.866,0.2002101944
532.051,0.2007356805
532.051,0.2012611666
532.051,0.2017866527
532.051,0.2023121387
542.71,0.2028376248
542.71,0.2033631109
542.71,0.203888597
545.181,0.204414083
545.181,0.2049395691
548.78,0.2054650552
550.971,0.2059905413
550.971,0.2065160273
550.971,0.2070415134
550.971,0.2075669995
558.159,0.2080924855
558.159,0.2086179716
563.43,0.2091434577
563.43,0.2096689438
563.43,0.2101944298
563.43,0.2107199159
570.135,0.211245402
570.135,0.2117708881
570.135,0.2122963741
574.294,0.2128218602
574.294,0.2133473463
574.294,0.2138728324
574.294,0.2143983184
574.294,0.2149238045
574.294,0.2154492906
574.294,0.2159747767
574.294,0.2165002627
574.391,0.2170257488
574.391,0.2175512349
574.391,0.218076721
574.391,0.218602207
575.302,0.2191276931
575.302,0.2196531792
575.302,0.2201786653
577.963,0.2207041513
577.963,0.2212296374
577.964,0.2217551235
577.964,0.2222806096
577.964,0.2228060956
577.964,0.2233315817
585.249,0.2238570678
585.249,0.2243825539
585.249,0.2249080399
585.249,0.225433526
588.6,0.2259590121
588.6,0.2264844982
588.6,0.2270099842
588.6,0.2275354703
589.683,0.2280609564
589.683,0.2285864425
598.377,0.2291119285
598.377,0.2296374146
598.377,0.2301629007
598.377,0.2306883868
598.377,0.2312138728
598.377,0.2317393589
607.964,0.232264845
607.964,0.2327903311
610.549,0.2333158171
610.549,0.2338413032
610.549,0.2343667893
612.177,0.2348922754
612.177,0.2354177614
612.177,0.2359432475
612.177,0.2364687336
612.177,0.2369942197
612.177,0.2375197057
613.476,0.2380451918
613.476,0.2385706779
613.476,0.239096164
613.476,0.23962165
613.476,0.2401471361
613.476,0.2406726222
613.476,0.2411981083
613.476,0.2417235943
614.077,0.2422490804
614.077,0.2427745665
614.077,0.2433000525
614.077,0.2438255386
618.199,0.2443510247
618.199,0.2448765108
618.199,0.2454019968
618.199,0.2459274829
618.199,0.246452969
618.199,0.2469784551
618.199,0.2475039411
618.199,0.2480294272
621.287,0.2485549133
621.287,0.2490803994
621.287,0.2496058854
621.287,0.2501313715
623.239,0.2506568576
623.239,0.2511823437
623.239,0.2517078297
625.075,0.2522333158
625.075,0.2527588019
625.075,0.253284288
625.075,0.253809774
625.075,0.2543352601
625.075,0.2548607462
630.483,0.2553862323
630.483,0.2559117183
631.168,0.2564372044
631.168,0.2569626905
642.618,0.2574881766
642.618,0.2580136626
642.618,0.2585391487
647.245,0.2590646348
647.245,0.2595901209
647.245,0.2601156069
647.245,0.260641093
649.11,0.2611665791
649.11,0.2616920652
649.11,0.2622175512
649.11,0.2627430373
655.52,0.2632685234
655.52,0.2637940095
655.52,0.2643194955
655.52,0.2648449816
662.495,0.2653704677
662.495,0.2658959538
662.495,0.2664214398
662.495,0.2669469259
662.495,0.267472412
662.495,0.2679978981
662.495,0.2685233841
662.495,0.2690488702
666.111,0.2695743563
666.111,0.2700998424
666.111,0.2706253284
666.111,0.2711508145
671.709,0.2716763006
671.709,0.2722017867
671.709,0.2727272727
674.089,0.2732527588
674.089,0.2737782449
674.089,0.274303731
674.089,0.274829217
674.089,0.2753547031
674.089,0.2758801892
677.116,0.2764056752
677.116,0.2769311613
687.372,0.2774566474
687.372,0.2779821335
696.601,0.2785076195
696.601,0.2790331056
697.323,0.2795585917
697.323,0.2800840778
697.323,0.2806095638
697.323,0.2811350499
699.976,0.281660536
699.976,0.2821860221
706.421,0.2827115081
707.239,0.2832369942
707.239,0.2837624803
707.239,0.2842879664
707.239,0.2848134524
707.239,0.2853389385
707.239,0.2858644246
707.239,0.2863899107
707.239,0.2869153967
710.998,0.2874408828
710.998,0.2879663689
712.426,0.288491855
712.426,0.289017341
731.704,0.2895428271
731.704,0.2900683132
731.704,0.2905937993
731.704,0.2911192853
731.704,0.2916447714
731.704,0.2921702575
731.704,0.2926957436
731.704,0.2932212296
731.704,0.2937467157
731.704,0.2942722018
731.704,0.2947976879
731.704,0.2953231739
733.032,0.29584866
733.032,0.2963741461
735.256,0.2968996322
735.256,0.2974251182
737.916,0.2979506043
737.916,0.2984760904
738.994,0.2990015765
738.994,0.2995270625
738.994,0.3000525486
738.994,0.3005780347
739.774,0.3011035208
739.774,0.3016290068
739.774,0.3021544929
739.774,0.302679979
740.412,0.3032054651
740.412,0.3037309511
740.412,0.3042564372
740.412,0.3047819233
742.086,0.3053074094
742.086,0.3058328954
742.086,0.3063583815
742.086,0.3068838676
742.176,0.3074093537
742.176,0.3079348397
742.176,0.3084603258
742.176,0.3089858119
762.242,0.309511298
762.242,0.310036784
762.242,0.3105622701
762.242,0.3110877562
762.242,0.3116132422
762.242,0.3121387283
762.242,0.3126642144
762.242,0.3131897005
765.413,0.3137151865
765.413,0.3142406726
765.413,0.3147661587
765.413,0.3152916448
765.866,0.3158171308
765.866,0.3163426169
765.866,0.316868103
765.866,0.3173935891
766.953,0.3179190751
766.953,0.3184445612
766.953,0.3189700473
784.142,0.3194955334
784.142,0.3200210194
784.142,0.3205465055
784.142,0.3210719916
785.352,0.3215974777
785.352,0.3221229637
785.352,0.3226484498
785.352,0.3231739359
785.352,0.323699422
785.352,0.324224908
787.204,0.3247503941
787.204,0.3252758802
789.709,0.3258013663
789.709,0.3263268523
789.709,0.3268523384
789.709,0.3273778245
789.709,0.3279033106
789.709,0.3284287966
789.709,0.3289542827
789.709,0.3294797688
791.667,0.3300052549
791.667,0.3305307409
796.774,0.331056227
796.774,0.3315817131
806.447,0.3321071992
806.447,0.3326326852
806.447,0.3331581713
806.447,0.3336836574
817.442,0.3342091435
817.442,0.3347346295
817.442,0.3352601156
817.442,0.3357856017
817.442,0.3363110878
817.442,0.3368365738
817.442,0.3373620599
817.442,0.337887546
817.887,0.3384130321
821.489,0.3389385181
821.489,0.3394640042
821.489,0.3399894903
821.489,0.3405149764
824.529,0.3410404624
824.529,0.3415659485
824.529,0.3420914346
824.529,0.3426169207
827.514,0.3431424067
827.514,0.3436678928
828.441,0.3441933789
828.441,0.344718865
828.441,0.345244351
828.441,0.3457698371
828.441,0.3462953232
828.441,0.3468208092
828.441,0.3473462953
828.441,0.3478717814
828.909,0.3483972675
828.909,0.3489227535
829.562,0.3494482396
829.562,0.3499737257
831.276,0.3504992118
831.276,0.3510246978
832.231,0.3515501839
832.231,0.35207567
832.231,0.3526011561
832.231,0.3531266421
832.625,0.3536521282
832.625,0.3541776143
832.625,0.3547031004
832.625,0.3552285864
832.625,0.3557540725
832.625,0.3562795586
832.625,0.3568050447
832.625,0.3573305307
832.625,0.3578560168
832.625,0.3583815029
832.625,0.358906989
832.625,0.359432475
836.587,0.3599579611
836.587,0.3604834472
836.587,0.3610089333
836.587,0.3615344193
838.534,0.3620599054
838.534,0.3625853915
838.534,0.3631108776
838.534,0.3636363636
838.534,0.3641618497
838.534,0.3646873358
838.534,0.3652128219
838.534,0.3657383079
839.569,0.366263794
839.569,0.3667892801
839.569,0.3673147662
839.569,0.3678402522
842.608,0.3683657383
847.014,0.3688912244
847.014,0.3694167105
854.202,0.3699421965
854.202,0.3704676826
874.778,0.3709931687
874.778,0.3715186548
875.144,0.3720441408
875.144,0.3725696269
875.297,0.373095113
875.297,0.3736205991
875.297,0.3741460851
875.297,0.3746715712
891.034,0.3751970573
891.034,0.3757225434
891.034,0.3762480294
891.034,0.3767735155
893.001,0.3772990016
893.001,0.3778244877
896.963,0.3783499737
896.963,0.3788754598
896.963,0.3794009459
896.963,0.3799264319
900.516,0.380451918
900.516,0.3809774041
901.435,0.3815028902
901.435,0.3820283762
901.435,0.3825538623
901.435,0.3830793484
905.913,0.3836048345
905.913,0.3841303205
905.913,0.3846558066
910.347,0.3851812927
910.347,0.3857067788
910.347,0.3862322648
910.347,0.3867577509
910.347,0.387283237
910.347,0.3878087231
