source,destination,distance,avg(dd.avgdelay)
planetlab2.cs.pitt.edu,salt.planetlab.cs.umd.edu,184.814,15.75
75-130-96-12.static.oxfr.ma.charter.com,planetlab1.temple.edu,235.434,15.777777777777779
planetlab1.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,15.8
planet3.cc.gt.atl.ga.us,planetlab1.acis.ufl.edu,309.463,15.944444444444445
node1.planetlab.mathcs.emory.edu,planetlab2.acis.ufl.edu,308.555,16
planetlabone.ccs.neu.edu,planetlab1.cnis.nyit.edu,171.184,16
planetlab-04.vt.nodes.planet-lab.org,planet3.cc.gt.atl.ga.us,326.092,16
planetlab1.acis.ufl.edu,planet3.cc.gt.atl.ga.us,309.463,16
planet3.cc.gt.atl.ga.us,planetlab-01.vt.nodes.planet-lab.org,326.092,16.055555555555557
planet3.cc.gt.atl.ga.us,salt.planetlab.cs.umd.edu,548.78,16.066666666666666
planetlab2.temple.edu,75-130-96-12.static.oxfr.ma.charter.com,235.434,16.1
planet3.cc.gt.atl.ga.us,planetlab-04.vt.nodes.planet-lab.org,326.092,16.11111111111111
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.temple.edu,235.434,16.11111111111111
planetlab3.cnds.jhu.edu,planetlab1.temple.edu,88.9667,16.125
planet3.cc.gt.atl.ga.us,planetlab2.acis.ufl.edu,309.463,16.166666666666668
node2.planetlab.mathcs.emory.edu,planetlab1.acis.ufl.edu,308.555,16.22222222222222
planetlab2.cnis.nyit.edu,planetlabtwo.ccs.neu.edu,171.184,16.25
planetlab3.cnds.jhu.edu,planet3.cc.gt.atl.ga.us,577.963,16.3
planetlab1.temple.edu,planetlab1.cnis.nyit.edu,99.7813,16.333333333333332
node2.planetlab.mathcs.emory.edu,planetlab2.acis.ufl.edu,308.555,16.444444444444443
node1.planetlab.mathcs.emory.edu,planetlab1.acis.ufl.edu,308.555,16.555555555555557
planetlab1.acis.ufl.edu,node1.planetlab.mathcs.emory.edu,308.555,16.7
node2.planetlab.mathcs.emory.edu,salt.planetlab.cs.umd.edu,545.181,16.875
planetlab1.acis.ufl.edu,node2.planetlab.mathcs.emory.edu,308.555,17
planetlab2.acis.ufl.edu,node2.planetlab.mathcs.emory.edu,308.555,17
planetlab2.cs.unc.edu,planetlab1.temple.edu,351.333,17
node1.planetlab.mathcs.emory.edu,salt.planetlab.cs.umd.edu,545.181,17
node2.planetlab.mathcs.emory.edu,planetlab5.csee.usf.edu,411.823,17.1
node1.planetlab.mathcs.emory.edu,planetlab3.cnds.jhu.edu,574.391,17.22222222222222
planetlab1.temple.edu,planetlab2.cs.unc.edu,351.333,17.333333333333332
planetlab2.temple.edu,planetlab2.cs.unc.edu,351.333,17.333333333333332
planetlab1.cs.okstate.edu,planetlab2.uta.edu,234.403,17.333333333333332
planetlab-04.vt.nodes.planet-lab.org,planetlab2.cs.pitt.edu,212.222,17.375
ebb.colgate.edu,salt.planetlab.cs.umd.edu,274.685,17.428571428571427
planetlab2.uta.edu,planetlab1.cs.okstate.edu,234.403,17.444444444444443
planetlab2.cs.unc.edu,planetlab2.temple.edu,351.333,17.5
node2.planetlab.mathcs.emory.edu,planetlab3.cnds.jhu.edu,574.391,17.666666666666668
planet3.cc.gt.atl.ga.us,planetlab3.cnds.jhu.edu,577.963,17.941176470588236
planetlab2.cnis.nyit.edu,75-130-96-12.static.oxfr.ma.charter.com,137.18,18.25
planetlab2.acis.ufl.edu,node1.planetlab.mathcs.emory.edu,308.555,18.3
planetlab2.temple.edu,planetlab1.cnis.nyit.edu,99.7813,18.333333333333332
planetlab1.cnis.nyit.edu,salt.planetlab.cs.umd.edu,217.196,18.333333333333332
planetlab2.temple.edu,planet3.cc.gt.atl.ga.us,666.111,18.4
planetlab2.cs.unc.edu,salt.planetlab.cs.umd.edu,241.162,18.5
planetlab2.temple.edu,node2.planetlab.mathcs.emory.edu,662.495,18.5
planetlab3.cnds.jhu.edu,node1.planetlab.mathcs.emory.edu,574.391,18.6
planetlab2.temple.edu,node1.planetlab.mathcs.emory.edu,662.495,18.7
planetlab3.cnds.jhu.edu,node2.planetlab.mathcs.emory.edu,574.391,18.9
salt.planetlab.cs.umd.edu,planetlab1.cnis.nyit.edu,217.196,19
node2.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,19
planetlab2.acis.ufl.edu,planet3.cc.gt.atl.ga.us,309.463,19.2
planetlab1.temple.edu,planetlab1.cs.unc.edu,351.333,19.333333333333332
node2.planetlab.mathcs.emory.edu,planetlab1.temple.edu,662.495,19.333333333333332
node1.planetlab.mathcs.emory.edu,planetlab2.temple.edu,662.495,19.333333333333332
planetlab1.temple.edu,node2.planetlab.mathcs.emory.edu,662.495,19.4
planetlab2.cs.pitt.edu,planetlab-04.vt.nodes.planet-lab.org,212.222,19.88888888888889
planetlabtwo.ccs.neu.edu,planetlab2.cs.pitt.edu,487.539,20
planet3.cc.gt.atl.ga.us,planetlab2.temple.edu,666.111,20.058823529411764
planetlab1.cs.unc.edu,planetlab2.temple.edu,351.333,20.125
planetlab1.cs.unc.edu,salt.planetlab.cs.umd.edu,241.162,20.142857142857142
planetlab2.cs.pitt.edu,planetlab3.cnds.jhu.edu,191.586,20.22222222222222
planetlab2.cs.pitt.edu,planetlab2.temple.edu,256.586,20.333333333333332
planetlab2.temple.edu,planetlab1.cs.unc.edu,351.333,20.333333333333332
planetlabone.ccs.neu.edu,planetlab2.cs.pitt.edu,487.539,20.625
planetlab1.cs.unc.edu,planetlab1.temple.edu,351.333,20.875
planetlab2.cs.pitt.edu,planetlab-01.vt.nodes.planet-lab.org,212.222,21
planet3.cc.gt.atl.ga.us,planetlab1.temple.edu,666.111,21
planetlab1.temple.edu,planetlab1.cs.uml.edu,271.31,21.11111111111111
planetlab1.temple.edu,planet3.cc.gt.atl.ga.us,666.111,21.22222222222222
node1.planetlab.mathcs.emory.edu,planetlab1.temple.edu,662.495,21.22222222222222
planetlab-04.vt.nodes.planet-lab.org,75-130-96-12.static.oxfr.ma.charter.com,575.302,21.3
75-130-96-12.static.oxfr.ma.charter.com,planetlab-04.vt.nodes.planet-lab.org,575.302,21.333333333333332
planetlab3.eecs.umich.edu,planetlab2.cs.pitt.edu,238.555,21.375
planetlab1.temple.edu,node1.planetlab.mathcs.emory.edu,662.495,21.6
planetlab2.cs.unc.edu,planetlab2.citadel.edu,221.999,22
planetlab3.cnds.jhu.edu,planetlab1.cnis.nyit.edu,188.505,22
planetlab1.ucsd.edu,planetlab1.cs.ucla.edu,107.845,22
75-130-96-12.static.oxfr.ma.charter.com,planetlab2.cs.pitt.edu,447.326,22.22222222222222
planetlab2.citadel.edu,planetlab2.cs.unc.edu,221.999,22.333333333333332
planetlab1.cs.ucla.edu,planetlab1.arizona-gigapop.net,451.607,22.333333333333332
planetlab2.cs.pitt.edu,planetlab3.eecs.umich.edu,238.555,22.333333333333332
planetlab3.cnds.jhu.edu,planetlab-01.vt.nodes.planet-lab.org,253.582,22.333333333333332
planet3.cc.gt.atl.ga.us,planetlab2.cs.pitt.edu,509.245,22.470588235294116
planetlab2.cs.pitt.edu,planetlabtwo.ccs.neu.edu,487.539,22.7
planetlab2.cs.pitt.edu,planetlabone.ccs.neu.edu,487.539,22.88888888888889
planetlab2.cs.pitt.edu,75-130-96-12.static.oxfr.ma.charter.com,447.326,23
planetlab-04.vt.nodes.planet-lab.org,ebb.colgate.edu,465.687,23
